Piloto;Corridas;PRI;SEG;TER;Pódios;Poles;Voltas;Mais rápidas;Pontos
Ayrton Senna;16;6;2;3;11;10;895;2;78
Alain Prost;16;5;2;2;9;0;859;2;73
Nelson Piquet;16;2;1;1;4;0;958;0;44
Nigel Mansell;16;1;3;1;5;3;886;3;37
Thierry Boutsen;16;1;1;1;3;1;793;1;34
Riccardo Patrese;16;1;0;0;1;0;915;4;23
Gerhard Berger;16;0;2;5;7;2;946;3;43
Aguri Suzuki;16;0;0;1;1;0;620;0;6
Jean Alesi;15;0;2;0;2;0;724;0;13
Alessandro Nannini;14;0;1;2;3;0;738;1;21
Ivan Capelli;14;0;1;0;1;0;579;0;6
Roberto Moreno;5;0;1;0;1;0;200;0;6
